%time,field.ecef_vel.e,field.ecef_vel.n,field.ecef_vel.u
1665831237.82977,0.310571543,3.898157431,0.406529515
1665831238.03117,0.234358591,4.072396207,0.506985999
1665831238.23271,0.190413887,4.237603203,0.182402864
1665831238.43407,0.266777621,4.410899129,0.475080694
1665831238.62436,0.225187267,4.544171765,0.394546373
1665831238.82589,0.192238203,4.695867915,0.17790444
1665831239.02732,0.197011703,4.836864701,0.331473773
1665831239.22864,0.242800986,5.090240985,0.365746651
1665831239.43012,0.196043265,5.234337973,0.396284882
1665831239.63068,0.260339729,5.424162727,0.323846855
1665831239.83093,0.284053753,5.605487292,0.327570712
1665831240.03268,0.251097323,5.841234863,0.339288075
1665831240.23326,0.259675187,6.007563149,0.231437569
1665831240.42373,0.219315211,6.198550931,0.321656135
1665831240.62516,0.27660128,6.382692579,0.041221722
1665831240.82653,0.084810625,6.60875883,0.194695253
1665831241.02681,0.137944947,6.6673353,0.056972049
1665831241.22815,0.102751689,6.720430922,-0.058377981
1665831241.42966,-0.046583174,6.997896068,0.176511209
1665831241.63,-0.036615911,7.110620169,-0.079098124
1665831241.83145,-0.264656003,7.192177811,0.132307522
1665831242.03288,-0.213528891,7.405803494,0.071922874
1665831242.22415,-0.406575087,7.354252685,0.044392342
1665831242.42555,-0.562567544,7.624694393,-0.065761303
1665831242.62714,-0.548545896,7.677652924,0.122341455
1665831242.82759,-0.694676648,7.726009923,-0.014069154
1665831243.0282,-0.773545574,7.925795666,0.143551464
1665831243.22951,-0.938023902,8.080424577,-0.242431994
1665831243.43098,-1.05571869,8.187736075,0.023412357
1665831243.63264,-1.100583819,8.307210517,-0.214861704
1665831243.83324,-1.204901313,8.333684411,-0.051501448
1665831244.02461,-1.230240313,8.508229094,0.028893942
1665831244.22601,-1.452084586,8.674006267,0.083876372
1665831244.42746,-1.570497946,8.73323718,-0.228289874
1665831244.62873,-1.582343187,8.830005963,-0.176740937
1665831244.83012,-1.72040986,8.917001858,-0.18756211
1665831245.03153,-1.721753403,8.869258418,0.469560267
1665831245.23179,-2.074623945,8.993415818,-0.271415192
1665831245.43325,-2.046417457,8.99638049,-0.28865192
1665831245.62446,-2.108740204,9.012166757,-0.449325375
1665831245.82581,-2.167907187,9.085410935,-0.399627302
1665831246.02726,-2.273046831,9.011311682,-0.295439894
1665831246.22874,-2.421452556,9.09789244,-0.359167226
1665831246.4303,-2.416698203,9.08398561,-0.462735929
1665831246.63066,-2.725178366,9.134956777,-0.835252626
1665831246.83251,-2.799560704,9.263533538,-0.743941596
1665831247.0329,-2.994149287,9.187072862,-0.693717517
1665831247.22427,-3.074496142,9.419000905,-0.937280683
1665831247.42556,-3.272610049,9.300835173,-0.816019849
1665831247.62708,-3.547973364,9.446903276,-0.970478854
1665831247.82838,-3.669906772,9.458151955,-0.986800657
1665831248.02911,-3.959676547,9.454269308,-1.245291609
1665831248.23054,-4.085687881,9.795039159,-1.358228148
1665831248.43004,-4.300598616,9.653931726,-1.042858209
1665831248.63141,-4.626999595,9.63520749,-1.428427688
1665831248.83289,-4.724714615,9.799774948,-1.140896843
1665831249.02413,-4.918199671,9.94634557,-0.955294915
1665831249.22433,-5.012908561,9.899221128,-1.125629654
1665831249.42462,-5.278318351,10.0422305,-1.233538884
1665831249.62605,-5.435436871,10.16465516,-1.185944737
1665831249.82728,-5.572764209,10.16508956,-1.306753277
1665831250.02861,-5.669489021,10.38044609,-1.278410067
1665831250.22997,-5.590251342,10.56817336,-1.062848492
1665831250.43139,-5.647859827,10.53032518,-1.325905401
1665831250.63285,-5.901407111,10.78312792,-1.05564536
1665831250.82431,-5.904172577,10.79844562,-1.40010935
1665831251.02568,-5.890183964,10.89995883,-1.282523057
1665831251.22696,-6.037167222,11.08523589,-1.206426583
1665831251.42715,-6.222475805,10.95580542,-0.737599383
1665831251.62849,-6.252600796,10.92004173,-0.57929833
1665831251.82983,-6.048655125,11.45405251,-1.818074754
1665831252.03084,-6.181562649,11.17319418,-1.011231784
1665831252.23227,-6.092527345,11.35434693,-1.504878163
1665831252.43335,-6.192315463,11.26554025,-1.221054281
1665831252.6235,-6.127904107,11.32867585,-1.21032287
1665831252.82484,-6.096509129,11.30560883,-0.935965935
1665831253.02621,-6.171557389,11.45296443,-1.533766559
1665831253.22655,-6.239431143,11.19616493,-1.169255175
1665831253.42769,-6.039439633,11.23055691,-1.113883361
1665831253.62896,-6.054155414,11.27080847,-1.365401387
1665831253.83037,-6.154982925,11.41056472,-1.420579407
1665831254.03071,-5.940357116,11.11739201,-1.267723868
1665831254.23187,-6.259277995,11.12418366,-1.228736346
1665831254.42327,-6.085544611,10.9644417,-1.224030347
1665831254.62326,-6.115635759,11.05426619,-1.243210638
1665831254.8254,-6.092901343,11.23347457,-0.374123891
1665831255.02763,-6.106470524,11.05981107,-1.407056245
1665831255.22796,-5.896135336,10.95064404,-1.17595134
1665831255.42947,-6.150946973,10.91963737,-1.272257655
1665831255.62861,-6.097703892,10.96477251,-1.219115832
1665831255.82979,-5.790347976,10.85098684,-0.916319179
1665831256.0318,-5.871275304,10.80880089,-1.168352693
1665831256.23293,-6.031686674,10.71897157,-1.331884638
1665831256.42402,-5.855509734,10.77610794,-1.047239365
1665831256.62546,-5.793188319,10.74366114,-0.983966098
1665831256.82717,-5.879458345,10.84765841,-1.104037995
1665831257.02835,-6.155838654,10.82991923,-0.946843923
1665831257.22954,-5.846406835,10.90990305,-0.924433033
1665831257.43099,-6.038060662,11.11379543,-0.74607014
1665831257.63159,-6.099206087,11.15290119,-0.793615238
1665831257.83284,-6.12030199,10.96037191,-0.873307705
1665831258.02412,-6.166127713,11.09778734,-0.386557037
1665831258.22529,-6.10126494,11.18338404,-0.56265211
1665831258.42573,-5.944581985,11.2230526,-0.283943181
1665831258.62711,-6.077403037,11.21662309,-0.499563958
1665831258.82746,-6.158403636,11.18265329,-0.407901066
